Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
ADTN,-,-,2-Jan-25,Long,9,SS.2
AESI,-,-,2-Jan-25,Long,9,SS.2
CRESY,-,-,2-Jan-25,Long,9,SS.2
ICL,-,-,2-Jan-25,Long,9,SS.2
U,-,-,2-Jan-25,Long,9,SS.2
OKLO,-,-,19-Jan-25,Long,9,SS2E
RUM,-,-,19-Jan-25,Long,9,SS2
TIGR,-,-,19-Jan-25,Long,9,VSS
TAC,-,-,19-Jan-25,Long,9,SS2
OLO,-,-,19-Jan-25,Long,9,SS2
BIRK,-,-,19-Jan-25,Long,9,SS2Perf
ATEN,-,-,19-Jan-25,Long,9,SS2
DAO,-,-,19-Jan-25,Long,9,SS2
MLAB,-,-,19-Jan-25,Long,9,SS2Perf
LULU,-,-,23-Jan-25,Long,9,SS2F
ACHR,-,-,23-Jan-25,Long,9,SS2F
BNTX,-,-,23-Jan-25,Long,9,VSSF
RUM,-,-,23-Jan-25,Long,9,SS2F
RELY,-,-,23-Jan-25,Long,9,SS2F
QURE,-,-,23-Jan-25,Long,9,SS2F
WEAV,-,-,23-Jan-25,Long,9,SS2F
