Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
IWEL,-,-,2-Aug-24,Long,7,Weekly2Aug
HINDALCO,-,-,22-Feb-25,Long,40,__
GODREJIND,-,-,22-Feb-25,Long,40,__
SUVENPHAR,-,-,22-Feb-25,Long,40,__
SOLARINDS,-,-,14-Mar-25,Long,40,__
SUNPHARMA,-,-,23-Mar-25,Long,45,__
JKCEMENT,-,-,23-Mar-25,Long,45,__
GRSE,-,-,23-Mar-25,Long,45,__
PENIND,-,-,23-Mar-25,Long,45,__
BALRAMCHIN,-,-,23-Mar-25,Long,45,__
DCMSHRIRAM,-,-,23-Mar-25,Long,45,__
MAXHEALTH,-,-,23-Mar-25,Long,45,__
EDELWEISS,-,-,23-May-25,Long,45,__
BBTC,-,-,23-May-25,Long,45,__
PGIL,-,-,23-May-25,Long,45,__
DCAL,-,-,23-May-25,Long,45,__
DYNAMATECH,-,-,23-May-25,Long,45,__
GREENPLY,-,-,23-May-25,Long,45,__
PNB,-,-,30-May-25,Long,45,__
NAUKRI,-,-,18-May-25,Long,45,__
PETRONET,-,-,3-May-25,Long,45,__
ALKEM,-,-,18-May-25,Long,45,__
ASHOKA,-,-,30-May-25,Long,45,__
POKARNA ,-,-,18-May-25,Long,45,__
SUNDRMBRAK,-,-,30-May-25,Long,45,__
