Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
GE,-,-,19-Jan-25,Long,40,SS2
GLW,-,-,19-Jan-25,Long,40,SS2
ENB,-,-,19-Jan-25,Long,40,SS2Perf
BK,-,-,19-Jan-25,Long,40,SS2
ETR,-,-,19-Jan-25,Long,40,SS
ENLC,-,-,19-Jan-25,Long,40,SS2Perf
FNB,-,-,19-Jan-25,Long,40,SS2E
HWM,-,-,19-Jan-25,Long,40,SS
ASB,-,-,19-Jan-25,Long,40,SS2E
KT,-,-,19-Jan-25,Long,40,SS2
TRGP,-,-,19-Jan-25,Long,40,SS
APD,-,-,19-Jan-25,Long,40,SS2Perf
CENX,-,-,19-Jan-25,Long,40,SS2
CRS,-,-,19-Jan-25,Long,40,SS
WCC,-,-,19-Jan-25,Long,40,SS2E
NFG,-,-,19-Jan-25,Long,40,SS2
CPAY,-,-,19-Jan-25,Long,40,SS2
MIRM,-,-,19-Jan-25,Long,40,SS2E
AGX,-,-,19-Jan-25,Long,40,SS
ABT,-,-,26-Jan-25,Long,40,SS2
NSC,-,-,26-Jan-25,Long,40,VSS
TSCO,-,-,26-Jan-25,Long,40,VSS
TEL,-,-,26-Jan-25,Long,40,VSS
ALNY,-,-,26-Jan-25,Long,40,SS2
