Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
HITECH,-,-,7-Jan-24,Long,30,Buy-for-Weekly
JAIBALAJI,-,-,7-Jan-24,Long,30,Buy-for-Weekly
HSCL,-,-,7-Jan-24,Long,30,Buy-for-Weekly
DBCORP,-,-,28-Jan-24,Long,30,Buy-for-Weekly
ABB,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ACC,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AUBANK,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AARTIIND,648,-,28-Dec-23,All,0,Manual-Resistance-Support
ABBOTINDIA,-,22009,28-Dec-23,All,0,Manual-Resistance-Support
ADANIENT,-,2743,28-Dec-23,All,0,Manual-Resistance-Support
ADANIPORTS,1099,993,28-Dec-23,All,0,Manual-Resistance-Support
ABCAPITAL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ABFRL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ALKEM,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AMBUJACEM,-,483,28-Dec-23,All,0,Manual-Resistance-Support
APOLLOHOSP,5686,5330,28-Dec-23,All,0,Manual-Resistance-Support
APOLLOTYRE,-,441,28-Dec-23,All,0,Manual-Resistance-Support
ASHOKLEY,178,-,28-Dec-23,All,0,Manual-Resistance-Support
ASIANPAINT,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ASTRAL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ATUL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AUROPHARMA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
AXISBANK,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BSOFT,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BAJAJ-AUTO,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BAJFINANCE,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BAJAJFINSV,1738,-,28-Dec-23,All,0,Manual-Resistance-Support
BALKRISIND,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BALRAMCHIN,414,379,28-Dec-23,All,0,Manual-Resistance-Support
BANDHANBNK,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BANKBARODA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BATAINDIA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BERGEPAINT,597,563,28-Dec-23,All,0,Manual-Resistance-Support
BEL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BHARATFORG,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BHEL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BPCL,-,432,28-Dec-23,All,0,Manual-Resistance-Support
BHARTIARTL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BIOCON,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BOSCHLTD,-,-,28-Dec-23,All,0,Manual-Resistance-Support
BRITANNIA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
CANFINHOME,-,742,28-Dec-23,All,0,Manual-Resistance-Support
CANBK,453,414,28-Dec-23,All,0,Manual-Resistance-Support
CHAMBLFERT,-,322,28-Dec-23,All,0,Manual-Resistance-Support
CHOLAFIN,-,-,28-Dec-23,All,0,Manual-Resistance-Support
CIPLA,-,1195,28-Dec-23,All,0,Manual-Resistance-Support
CUB,-,-,28-Dec-23,All,0,Manual-Resistance-Support
COALINDIA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
COFORGE,-,-,28-Dec-23,All,0,Manual-Resistance-Support
COLPAL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
CONCOR,878,818,28-Dec-23,All,0,Manual-Resistance-Support
COROMANDEL,1267,1176,28-Dec-23,All,0,Manual-Resistance-Support
CROMPTON,307,287,28-Dec-23,All,0,Manual-Resistance-Support
CUMMINSIND,-,1891,28-Dec-23,All,0,Manual-Resistance-Support
DLF,-,-,28-Dec-23,All,0,Manual-Resistance-Support
DABUR,-,-,28-Dec-23,All,0,Manual-Resistance-Support
DALBHARAT,2349,-,28-Dec-23,All,0,Manual-Resistance-Support
DEEPAKNTR,-,-,28-Dec-23,All,0,Manual-Resistance-Support
DELTACORP,151,135,28-Dec-23,All,0,Manual-Resistance-Support
DIVISLAB,-,-,28-Dec-23,All,0,Manual-Resistance-Support
DIXON,-,-,28-Dec-23,All,0,Manual-Resistance-Support
LALPATHLAB,2650,-,28-Dec-23,All,0,Manual-Resistance-Support
DRREDDY,-,5479,28-Dec-23,All,0,Manual-Resistance-Support
EICHERMOT,-,-,28-Dec-23,All,0,Manual-Resistance-Support
ESCORTS,4148,3876,28-Dec-23,All,0,Manual-Resistance-Support
EXIDEIND,-,283,28-Dec-23,All,0,Manual-Resistance-Support
GAIL,-,-,28-Dec-23,All,0,Manual-Resistance-Support
GMRINFRA,-,-,28-Dec-23,All,0,Manual-Resistance-Support
GLENMARK,-,-,28-Dec-23,All,0,Manual-Resistance-Support
GODREJCP,-,-,28-Dec-23,All,0,Manual-Resistance-Support
GODREJPROP,-,-,28-Dec-23,All,0,Manual-Resistance-Support
GRANULES,407,-,28-Dec-23,All,0,Manual-Resistance-Support
GRASIM,-,-,28-Dec-23,All,0,Manual-Resistance-Support
