SYMBOL,SERIES,LAST,TOTTRDVAL
ICICIBANK,EQ,898,30780277208
HDFCBANK,EQ,1695,29795708473
AXISBANK,EQ,864,20450123140
AUBANK,EQ,676.3,20419262258
INFY,EQ,1383.4,15707860355
SBIN,EQ,533.4,15168246670
HDFC,EQ,2791.95,14419808031
RELIANCE,EQ,2356,13447564947
TCS,EQ,3192,13330566472
INDUSINDBK,EQ,1105,6557033299
ADANIENT,EQ,1869.5,6323988503
TATAMOTORS,EQ,468.85,5963327152
APOLLOHOSP,EQ,4404.95,5572568011
KOTAKBANK,EQ,1868,5421031009
M&M,EQ,1205.45,5390148196
BAJFINANCE,EQ,5901.5,4909044888
DABUR,EQ,527.6,4479296901
FACT,EQ,318.8,4430592924
LT,EQ,2263.5,4418131174
EICHERMOT,EQ,3212.5,4281565435
LTIM,EQ,4635.8,4255181571
MARUTI,EQ,8660,4162781442
TATASTEEL,EQ,107.6,3728837192
DIVISLAB,EQ,3170.05,3705626220
BANKBARODA,EQ,171.4,3506520277
BHARTIARTL,EQ,767.85,3297179128
HCLTECH,EQ,1072.5,3291754264
HINDUNILVR,EQ,2535.4,3206388026
TECHM,EQ,1085.8,2957926720
LIQUIDBEES,EQ,1000.01,2950515146
DLF,EQ,410.9,2946405613
GRAPHITE,EQ,278.3,2767576665
PERSISTENT,EQ,4399,2740248944
KPITTECH,EQ,869,2695838042
HINDALCO,EQ,422.2,2672345041
AMBUJACEM,EQ,391.2,2451382005
ADANIGREEN,EQ,941.4,2436926446
ITC,EQ,395.7,2395487558
NFL,EQ,85.25,2382718628
PIIND,EQ,3034,2348364350
TVSMOTOR,EQ,1161.6,2343819196
ULTRACEMCO,EQ,7662,2242415500
HDFCLIFE,EQ,531.35,2189103714
ADANIPORTS,EQ,661.1,2179552856
SRF,EQ,2436.1,2110179658
BANDHANBNK,EQ,204.95,2043035875
MAXHEALTH,EQ,471.9,2014588573
LAURUSLABS,EQ,313.9,2012674072
POWERGRID,EQ,231.65,1965044500
BRITANNIA,EQ,4255,1948198844
INDIAMART,EQ,5396.9,1890854569
VEDL,EQ,276,1876141918
CHOLAFIN,EQ,820.85,1859004737
ONGC,EQ,158.95,1846622511
BAJAJFINSV,EQ,1338.5,1777562570
COFORGE,EQ,4023,1763274074
MADRASFERT,EQ,70.35,1755555521
NTPC,EQ,173,1723986220
SBILIFE,EQ,1130,1704161014
ASIANPAINT,EQ,2812,1689563758
DEEPAKNTR,EQ,1871.9,1646115925
CANBK,EQ,290.8,1643864424
GAIL,EQ,108.2,1632814888
GODREJPROP,EQ,1284.9,1631351342
BAJAJ-AUTO,EQ,4290,1591893137
PFC,EQ,161.6,1568332043
PNB,EQ,47.65,1543721810
ZEEL,EQ,208.95,1498984271
PNBHOUSING,EQ,420,1491781345
IDBI,EQ,52.8,1470558508
SUNPHARMA,EQ,1003.75,1455992868
ESCORTS,EQ,1958.4,1448620862
ZOMATO,EQ,54,1428727475
SBICARD,EQ,758.7,1400627075
DIXON,EQ,2980,1394418873
BPCL,EQ,332.35,1389129829
RCF,EQ,107.3,1357608984
IGL,EQ,485.15,1339003394
ABB,EQ,3223.2,1294843295
VBL,EQ,1426,1271151469
TATAPOWER,EQ,196.2,1262788018
HINDPETRO,EQ,225.1,1252164144
TITAN,EQ,2580,1246844448
AUROPHARMA,EQ,565.3,1236866299
WIPRO,EQ,367.25,1236563744
ATGL,EQ,913.25,1229892055
HAL,EQ,2804,1194267123
YESBANK,EQ,15.25,1171267166
FEDERALBNK,EQ,128.15,1158878537
ASHOKLEY,EQ,137.9,1146512602
ACC,EQ,1767.85,1141635346
DRREDDY,EQ,4854,1134696967
SONACOMS,EQ,444.25,1129999864
HEROMOTOCO,EQ,2448,1123224873
GAEL,EQ,264.5,1113026626
BALRAMCHIN,EQ,403.3,1099173399
RPOWER,EQ,12.7,1095926827
ANURAS,EQ,992,1094874185
PAYTM,EQ,652.55,1078551280
PETRONET,EQ,227.75,1067182403
MPHASIS,EQ,1770.05,1061183329
HEG,EQ,1037,1056663581
INDHOTEL,EQ,329,1031082161
SAIL,EQ,81.6,1018760417
RELINFRA,EQ,163.9,1013734105
CUMMINSIND,EQ,1541.3,1001183698
BHEL,EQ,71.8,981395511.1
CIPLA,EQ,914.7,978943922.9
DATAPATTNS,EQ,1660,964070741.8
APARINDS,EQ,2764.95,957401723.7
BEL,EQ,100.65,925147649.8
WELSPUNIND,EQ,80.4,920933770.3
MINDACORP,EQ,266.4,920307817.3
NESTLEIND,EQ,19500,901398912.2
CAMPUS,EQ,337.5,862809577.3
IDFCFIRSTB,EQ,54.05,851314387.3
NAUKRI,EQ,3811,829791446.2
RBLBANK,EQ,148.75,820114891.9
IEX,EQ,154.8,810491086.1
SIEMENS,EQ,3326,806408067.2
ALKEM,EQ,3343.95,802707042.5
PIDILITIND,EQ,2349.95,799575738.4
ADANITRANS,EQ,1034,799194907.7
BIOCON,EQ,224,793958929.7
COALINDIA,EQ,225.4,788468224
SULA,EQ,387,785070552.9
JINDALSTEL,EQ,560.15,779011609.6
BHARATFORG,EQ,764.9,777997395.9
M&MFIN,EQ,259.25,775133553.7
POLYCAB,EQ,3080,770854085.3
ABFRL,EQ,226.5,769224944.2
GODREJCP,EQ,964.5,754197327.7
RVNL,EQ,73.55,753489631.4
HAVELLS,EQ,1186,740618511.8
LTTS,EQ,3530.5,740131166.5
ANANDRATHI,EQ,850,736830991.4
UPL,EQ,740,732809956
TORNTPHARM,EQ,1579.8,727609976.8
NHPC,EQ,42.8,725590631.4
GRAUWEIL,EQ,114,721141189.5
ICICIGI,EQ,1087.85,721075221.5
BANKINDIA,EQ,77.65,713820135.6
SHREECEM,EQ,25822,713356434.4
DALBHARAT,EQ,2008.8,696340913.5
UNIONBANK,EQ,69.7,689328219.1
UNOMINDA,EQ,502,689173397.8
TATAMTRDVR,EQ,235.4,682616367.1
JUBLFOOD,EQ,435.7,666472030.1
RECLTD,EQ,121.35,661108915.4
HDFCAMC,EQ,1794,659800017.7
BATAINDIA,EQ,1409.4,657545566.6
IRCTC,EQ,592.8,650452860.5
CONCOR,EQ,604.4,647009271.8
ADANIPOWER,EQ,188.9,639740776.8
PAGEIND,EQ,37730,639373476.5
MARICO,EQ,476.65,633512479.4
NAVINFLUOR,EQ,4515,615667175.5
NATIONALUM,EQ,79.6,611629866.6
