TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-05-19,2026-05-19,CM,NSE,STK,19078,IN0020200104,SGBJUN28,GB,,,,,2.5%GOLDBONDS2028SR-III,15700.00,15740.00,15694.00,15730.21,15740.00,15575.05,,15726.14,,,1622,25490323.90,85,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,1342,IN0020200286,SGBN28VIII,GB,,,,,2.5%GOLDBONDS2028SR-VIII,15636.87,15746.00,15605.02,15629.99,15630.00,15636.87,,15629.99,,,1517,23711946.16,89,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,3742,IN0020210053,SGBMAY29I,GB,,,,,2.5%GOLDBONDS2029SR-I,15613.20,15710.00,15613.20,15664.20,15664.20,15608.94,,15650.07,,,356,5570041.30,65,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,3743,IN0020210061,SGBJUN29II,GB,,,,,2.5%GOLDBONDS2029SR-II,15650.00,15745.00,15640.00,15730.07,15740.00,15628.12,,15726.15,,,253,3973837.71,46,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,3800,IN0020210087,SGBJU29III,GB,,,,,2.5%GOLDBONDS2029SR-III,15640.00,15740.00,15640.00,15737.94,15740.00,15618.31,,15726.21,,,478,7508267.10,37,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,5575,IN0020210145,SGBSEP29VI,GB,,,,,2.5%GOLDBONDS2029SR-VI,15659.41,15734.00,15626.20,15685.26,15690.00,15659.41,,15696.83,,,96,1505362.30,38,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,6518,IN0020210178,SGBNV29VII,GB,,,,,2.5%GOLDBONDS2029SR-VII,15640.01,15869.00,15605.00,15652.77,15650.00,15640.00,,15641.41,,,220,3445185.68,68,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,6355,IN0020180314,SGBNOV26,GB,,,,,2.50%GOLDBONDS2026SR-III,15600.00,15640.00,15600.00,15610.00,15610.00,15600.00,,15610.00,,,13,203230.01,6,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,7654,IN0020180389,SGBDEC26,GB,,,,,2.50%GOLDBONDS2026SR-IV,15649.00,15649.00,15649.00,15649.00,15649.00,15650.00,,15651.50,,,24,375576.00,5,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,10261,IN0020190073,SGBJUN27,GB,,,,,2.50%GOLDBONDS2027SR-I,15700.00,15700.00,15615.00,15700.00,15700.00,15789.99,,15700.00,,,137,2150560.00,8,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,11154,IN0020190081,SGBJUL27,GB,,,,,2.50%GOLDBONDS2027SR-II,15626.00,15949.99,15502.01,15625.00,15625.00,15625.00,,15625.00,,,12,187211.04,5,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,12904,IN0020190107,SGBAUG27,GB,,,,,2.50%GOLDBONDS2027SR-III,15570.01,15660.00,15570.01,15635.00,15635.00,15557.80,,15635.00,,,261,4073144.00,35,F1,1,,,,,
2026-05-19,2026-05-19,CM,NSE,STK,13209,IN0020190115,SGBSEP27,GB,,,,,2.50%GOLDBONDS2027SR-IV,15670.00,15675.00,15610.00,15610.00,15610.00,15575.34,,15610.00,,,97,1518412.70,9,F1,1,,,,,
