CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKNAUKRI26-SEP-2024,7013.3000000,7125.0000000,7125.0000000,6891.6000000,6891.6000000,6922.2500000,-1.2900000,28.0000000,1650.0000000,11.0000000,11576062.5000000
FUTSTKHINDPETRO26-SEP-2024,363.4000000,358.0000000,362.0000000,345.9000000,346.5000000,346.5000000,-4.6500000,132.0000000,141750.0000000,70.0000000,50093640.0000000
FUTSTKFEDERALBNK29-AUG-2024,196.7900000,196.0000000,196.5900000,191.5000000,192.1300000,192.1300000,-2.3600000,2124.0000000,10430000.0000000,2086.0000000,2019641050.0000000
FUTSTKCROMPTON29-AUG-2024,433.8000000,435.9000000,439.2000000,425.7500000,430.9000000,430.9000000,-0.6600000,1219.0000000,2788200.0000000,1549.0000000,1203136830.0000000
FUTSTKFEDERALBNK25-JUL-2024,196.5900000,196.1200000,196.8800000,191.2100000,191.9300000,191.9300000,-2.3700000,16800.0000000,29035000.0000000,5807.0000000,5616108550.0000000
FUTSTKABBOTINDIA26-SEP-2024,29199.5000000,28500.0000000,28500.0000000,27765.6500000,27802.9000000,27802.9000000,-4.7800000,29.0000000,140.0000000,7.0000000,3916362.0000000
FUTSTKSAIL29-AUG-2024,148.7100000,147.6900000,147.9000000,141.5700000,142.1700000,142.1700000,-4.3900000,13979.0000000,1404000.0000000,351.0000000,201695160.0000000
FUTSTKLICHSGFIN25-JUL-2024,797.8500000,795.4000000,798.4000000,769.2000000,771.7500000,771.7500000,-3.2700000,23735.0000000,7058000.0000000,7058.0000000,5520214200.0000000
FUTSTKIOC25-JUL-2024,170.0100000,169.9000000,170.3400000,165.2000000,165.6300000,165.6300000,-2.5700000,26815.0000000,48199125.0000000,9887.0000000,8051678310.0000000
FUTSTKATUL26-SEP-2024,7224.1000000,7195.0000000,7206.6500000,6975.3000000,7065.1000000,7065.1000000,-2.2000000,69.0000000,3500.0000000,35.0000000,24869670.0000000
FUTSTKABBOTINDIA29-AUG-2024,28599.7000000,28451.4500000,28603.5000000,27462.6500000,27593.7500000,27593.7500000,-3.5100000,805.0000000,16600.0000000,830.0000000,463946523.0000000
FUTSTKTATAMOTORS26-SEP-2024,1040.0500000,1034.0500000,1035.0000000,1002.0000000,1003.2500000,1003.2500000,-3.5300000,941.0000000,252450.0000000,459.0000000,256441432.5000000
FUTSTKMPHASIS26-SEP-2024,2871.9500000,2916.1500000,2930.0000000,2875.0000000,2886.7000000,2886.7000000,0.5100000,83.0000000,12925.0000000,47.0000000,37590355.0000000
FUTSTKINDIGO29-AUG-2024,4446.2500000,4433.9000000,4433.9000000,4287.0000000,4314.0500000,4314.0500000,-2.9700000,2718.0000000,843000.0000000,2810.0000000,3659193690.0000000
FUTSTKKOTAKBANK29-AUG-2024,1837.0000000,1829.0500000,1843.4500000,1818.1000000,1831.5000000,1831.5000000,-0.2900000,11728.0000000,2403200.0000000,6008.0000000,4400331240.0000000
FUTSTKLT26-SEP-2024,3712.0000000,3695.0000000,3713.9000000,3663.0000000,3668.6000000,3668.6000000,-1.1600000,452.0000000,23250.0000000,155.0000000,85706197.5000000
FUTSTKLTF26-SEP-2024,187.3909009,187.5200000,187.5200000,178.0300000,178.5300000,178.5300000,-4.7200000,311.0000000,490820.0000000,110.0000000,89446813.7000000
FUTSTKGAIL29-AUG-2024,230.9800000,231.0000000,231.0000000,220.6000000,221.2100000,221.2100000,-4.2200000,4517.0000000,19384275.0000000,4237.0000000,4338423410.2500000
FUTSTKMARUTI29-AUG-2024,12625.6500000,12600.9000000,12690.0000000,12450.0000000,12479.7500000,12479.7500000,-1.1500000,9313.0000000,256400.0000000,5128.0000000,3217697317.5000000
FUTSTKBSOFT29-AUG-2024,753.6500000,763.0000000,764.0000000,726.7000000,729.7500000,729.7500000,-3.1700000,1884.0000000,2308000.0000000,2308.0000000,1721454250.0000000
FUTSTKADANIENT26-SEP-2024,3143.4500000,3138.0000000,3138.0000000,3046.5000000,3049.4500000,3049.4500000,-2.9900000,334.0000000,51000.0000000,170.0000000,157571625.0000000
FUTSTKKOTAKBANK26-SEP-2024,1850.3500000,1849.1500000,1854.9000000,1830.5500000,1842.6000000,1842.6000000,-0.4100000,363.0000000,29200.0000000,73.0000000,53821840.0000000
FUTSTKINDHOTEL26-SEP-2024,592.0500000,587.7000000,589.5000000,581.9000000,585.4000000,585.4000000,-1.1200000,158.0000000,50000.0000000,50.0000000,29250950.0000000
FUTSTKASTRAL29-AUG-2024,2258.1000000,2240.4000000,2261.9500000,2227.8000000,2248.1500000,2248.1500000,-0.4400000,1215.0000000,638213.0000000,1739.0000000,1433382761.7000000
FUTSTKGMRINFRA25-JUL-2024,95.9000000,95.3900000,95.3900000,91.5000000,91.9900000,91.9900000,-4.0700000,17149.0000000,10237500.0000000,910.0000000,951669562.5000000
FUTSTKLICHSGFIN29-AUG-2024,795.9000000,792.8500000,795.0000000,766.2500000,768.3500000,768.3500000,-3.4600000,3684.0000000,3558000.0000000,3558.0000000,2773737500.0000000
FUTSTKIDFC29-AUG-2024,116.6500000,116.7200000,116.7200000,114.0000000,114.2300000,114.2300000,-2.0700000,5002.0000000,10180000.0000000,2036.0000000,1168955550.0000000
FUTSTKRBLBANK26-SEP-2024,246.0500000,248.0500000,248.0500000,242.3000000,243.4000000,243.4000000,-1.0700000,197.0000000,17500.0000000,7.0000000,4290750.0000000
FUTSTKNATIONALUM26-SEP-2024,194.1409009,190.5000000,191.1409009,186.0000000,188.5100000,188.5100000,-2.9000000,159.0000000,157500.0000000,42.0000000,29687250.0000000
FUTSTKDABUR29-AUG-2024,648.1500000,646.6000000,650.0000000,637.5500000,638.4500000,638.4500000,-1.4900000,666.0000000,726250.0000000,581.0000000,466921875.0000000
FUTSTKNATIONALUM25-JUL-2024,192.1500000,191.0000000,191.0000000,183.6000000,185.9209009,185.9209009,-3.2400000,14290.0000000,28593750.0000000,7625.0000000,5332182187.5000000
FUTSTKMANAPPURAM25-JUL-2024,228.3500000,229.7600000,230.0000000,216.2500000,216.9800000,216.9800000,-4.9700000,14077.0000000,20367000.0000000,6789.0000000,4508638110.0000000
FUTSTKCOLPAL26-SEP-2024,3160.0000000,3160.0000000,3160.0000000,3160.0000000,3160.0000000,3164.3500000,0.1300000,10.0000000,350.0000000,1.0000000,1106000.0000000
FUTSTKCHAMBLFERT26-SEP-2024,518.8500000,518.8500000,529.6500000,493.0500000,495.7500000,495.7500000,-4.4500000,33.0000000,30400.0000000,16.0000000,15450325.0000000
FUTSTKGODREJCP29-AUG-2024,1471.5000000,1481.5000000,1482.0000000,1442.4000000,1456.9000000,1456.9000000,-0.9900000,837.0000000,288500.0000000,577.0000000,421768550.0000000
